log_marginal,κ,λ,estimate
195.48925536450488,0.2,0.01,AIS
195.53491673659408,0.2,0.01,AIS
195.5985152213213,0.2,0.01,AIS
195.53155892939037,0.2,0.01,AIS
195.54415996185983,0.2,0.01,AIS
195.5949331605147,0.2,0.01,AIS
195.47976519199736,0.2,0.01,AIS
195.5631745338884,0.2,0.01,AIS
195.5468948122403,0.2,0.01,AIS
195.56651894738678,0.2,0.01,AIS
195.58384762595924,0.2,0.01,AIS
195.50279320242169,0.2,0.01,AIS
195.46822014245464,0.2,0.01,AIS
195.64470437820688,0.2,0.01,AIS
195.5611057060599,0.2,0.01,AIS
195.56576853684703,0.2,0.01,AIS
195.57231533600685,0.2,0.01,AIS
195.6251325084983,0.2,0.01,AIS
195.65175440535447,0.2,0.01,AIS
195.54101388832908,0.2,0.01,AIS
195.5778417452372,0.2,0.01,AIS
195.65782412914686,0.2,0.01,AIS
195.5560807855742,0.2,0.01,AIS
195.5767834171417,0.2,0.01,AIS
195.61648704370884,0.2,0.01,AIS
195.56098325377175,0.2,0.01,AIS
195.57695215419508,0.2,0.01,AIS
195.5232057412164,0.2,0.01,AIS
195.62966414457617,0.2,0.01,AIS
195.49405334699568,0.2,0.01,AIS
195.62222021382343,0.2,0.01,AIS
195.5955292084533,0.2,0.01,AIS
195.5458488696279,0.2,0.01,AIS
195.6198440786325,0.2,0.01,AIS
195.5473508462848,0.2,0.01,AIS
195.51842739705128,0.2,0.01,AIS
195.5100275606477,0.2,0.01,AIS
195.43309726443908,0.2,0.01,AIS
195.53359729351976,0.2,0.01,AIS
195.5454208308742,0.2,0.01,AIS
195.49477523842447,0.2,0.01,AIS
195.57477772938188,0.2,0.01,AIS
195.55579153854015,0.2,0.01,AIS
195.553166195052,0.2,0.01,AIS
195.56745212571468,0.2,0.01,AIS
195.54257740134344,0.2,0.01,AIS
195.5530919565323,0.2,0.01,AIS
195.5483543260655,0.2,0.01,AIS
195.61030340195558,0.2,0.01,AIS
195.58918674701735,0.2,0.01,AIS
195.58887144001878,0.2,0.01,AIS
195.5570934612349,0.2,0.01,AIS
195.5753635062566,0.2,0.01,AIS
195.55876961086253,0.2,0.01,AIS
195.5914717797344,0.2,0.01,AIS
195.68302408324777,0.2,0.01,AIS
195.51080712635718,0.2,0.01,AIS
195.6013562703965,0.2,0.01,AIS
195.5863840088106,0.2,0.01,AIS
195.52257251820035,0.2,0.01,AIS
195.54288077409836,0.2,0.01,AIS
195.54130725693906,0.2,0.01,AIS
195.69259021873899,0.2,0.01,AIS
195.5969425783191,0.2,0.01,AIS
195.56709719863775,0.2,0.01,AIS
195.57163390296313,0.2,0.01,AIS
195.5645419694562,0.2,0.01,AIS
195.59762933012806,0.2,0.01,AIS
195.54711269554036,0.2,0.01,AIS
195.61280823191802,0.2,0.01,AIS
195.5898964032517,0.2,0.01,AIS
195.54327736241584,0.2,0.01,AIS
195.58166995150586,0.2,0.01,AIS
195.6360045137896,0.2,0.01,AIS
195.480717417716,0.2,0.01,AIS
195.54708661109098,0.2,0.01,AIS
195.55952624060166,0.2,0.01,AIS
195.53478661306823,0.2,0.01,AIS
195.4896072736325,0.2,0.01,AIS
195.57962540692245,0.2,0.01,AIS
195.59760267790298,0.2,0.01,AIS
195.62275850650371,0.2,0.01,AIS
