"t","Mean","Std","Comp","traj1","traj2","traj3","traj4","traj5"
0.0,50.0366,7.086288308289383,S,56,44,65,53,65
0.025,50.031,7.084536545590448,S,60,45,63,51,66
0.05,50.0094,7.092640001735693,S,58,47,63,50,64
0.075,50.0103,7.12720657883315,S,58,46,61,48,62
0.1,50.0131,7.1364291667559,S,57,47,62,48,63
0.125,50.0036,7.141350497538336,S,55,48,62,48,65
0.15,50.0068,7.138756890733447,S,53,52,59,51,65
0.175,50.0307,7.113790699184959,S,56,51,58,51,68
0.2,50.0302,7.097149069343957,S,54,51,59,50,69
0.225,50.0367,7.082864519880392,S,55,54,61,51,71
0.25,50.0385,7.066159551770784,S,56,58,57,51,71
0.275,50.0664,7.072735920373313,S,57,56,56,53,73
0.3,50.0614,7.065849040438473,S,60,56,55,51,73
0.325,50.0551,7.05799160629642,S,60,57,55,53,74
0.35,50.0579,7.0631675913603,S,59,57,54,54,74
0.375,50.0712,7.08577105014945,S,60,55,54,54,74
0.4,50.0749,7.087123021457425,S,60,55,54,53,75
0.425,50.0895,7.0939496870372825,S,60,54,54,54,71
0.45,50.0808,7.061661140681134,S,59,57,55,55,69
0.475,50.0875,7.086273017357297,S,58,55,59,54,71
0.5,50.0825,7.0805442700908605,S,58,57,59,54,70
0.525,50.0993,7.076471377368463,S,60,57,59,52,70
0.55,50.0853,7.091491580428167,S,61,55,59,49,69
0.575,50.0881,7.085517542557101,S,59,56,59,51,66
0.6,50.0848,7.0853954895209235,S,60,57,56,52,66
0.625,50.0827,7.073264014327632,S,61,56,57,52,68
0.65,50.0868,7.0745085078091385,S,59,53,55,51,67
0.675,50.0775,7.093794890084828,S,58,54,55,51,64
0.7,50.0909,7.0740258250968475,S,55,53,55,52,63
0.725,50.1257,7.077577885185939,S,54,53,54,53,67
0.75,50.1347,7.084304810457001,S,55,53,55,52,69
0.775,50.1154,7.057411958101432,S,56,52,56,50,69
0.8,50.1232,7.052786395432293,S,55,52,54,51,67
0.825,50.1373,7.062948197015416,S,60,52,51,50,67
0.85,50.1284,7.084908823217378,S,61,53,55,53,70
0.875,50.1056,7.067506180001517,S,62,51,57,52,67
0.9,50.0887,7.075947937479493,S,57,51,58,53,66
0.925,50.0761,7.06852921055854,S,56,52,60,53,66
0.95,50.0749,7.073704384505462,S,55,54,59,52,66
0.975,50.0849,7.081575168046052,S,55,53,58,54,69
1.0,50.099,7.100538061589125,S,57,53,55,52,70
1.025,50.0794,7.097783702913888,S,56,53,53,51,69
1.05,50.0703,7.0894840424673555,S,53,52,52,53,66
1.075,50.0656,7.085189950288062,S,54,55,52,54,61
1.1,50.0697,7.084282646539413,S,54,57,51,56,61
1.125,50.0577,7.083656437804902,S,52,58,51,57,61
1.15,50.0438,7.080712902633511,S,53,57,53,52,59
1.175,50.0904,7.076159625354984,S,53,59,55,55,61
1.2,50.0785,7.0779197116627985,S,55,61,58,55,60
1.225,50.0791,7.064009712147961,S,56,59,59,54,56
1.25,50.0799,7.066010815225442,S,55,59,57,54,56
1.275,50.103,7.081511546313995,S,56,60,56,54,55
1.3,50.11,7.082917250093886,S,52,61,58,55,53
1.325,50.0962,7.05574403676903,S,51,58,57,56,56
1.35,50.0736,7.072834335579636,S,51,56,55,56,53
1.375,50.0366,7.06892194084363,S,51,56,53,56,54
1.4,50.0385,7.053863724891851,S,52,50,57,55,55
1.425,50.0257,7.0621120674119595,S,53,51,56,58,55
1.45,50.0299,7.074617375597054,S,55,50,55,57,54
1.475,50.0305,7.053066306538821,S,54,49,54,55,54
1.5,50.0312,7.0354229636624,S,53,48,54,55,53
1.525,50.02,7.034639195784084,S,53,49,54,58,51
1.55,50.0155,7.043281943245908,S,54,52,54,57,49
1.575,50.0153,7.0486476896939045,S,51,53,54,57,46
1.6,50.0246,7.034439791079109,S,52,53,55,57,48
