"t","Cov","SqDiff","Var","Nobs"
0.0,0.000265908709343034,6.3085119473301735e-6,6.309142861616335e-10,10000
0.01,0.0002562508430337073,6.305913666844755e-6,6.306544321276882e-10,10000
0.02,0.0002476479469329218,6.304242695583651e-6,6.304873182901941e-10,10000
0.03,0.00023998273281533887,6.302329760062495e-6,6.302960056068102e-10,10000
0.04,0.0002331512948621732,6.300825854114607e-6,6.301455999714578e-10,10000
0.05,0.0002270614472058711,6.29979280026107e-6,6.300422842545325e-10,10000
0.06,0.00022163075349057156,6.29877071117669e-6,6.299400651241814e-10,10000
0.07,0.00021678575335622586,6.298054150725366e-6,6.298684019127278e-10,10000
0.08,0.0002124611408802767,6.2976072012395916e-6,6.298237024942086e-10,10000
0.09,0.00020859919373525778,6.297300115743681e-6,6.297929908734554e-10,10000
0.1,0.00020514814390241683,6.2967095499927895e-6,6.297339283921181e-10,10000
0.11,0.00020206154768257552,6.295971058480013e-6,6.296600718551868e-10,10000
0.12,0.00019929825157231692,6.295314698364313e-6,6.295944292793593e-10,10000
0.13,0.00019682227517118126,6.294636405773894e-6,6.295265932367131e-10,10000
0.14,0.000194601622205957,6.294396338929276e-6,6.295025841513428e-10,10000
0.15,0.00019260704304438234,6.294516430476231e-6,6.295145945070738e-10,10000
0.16,0.00019081294381113371,6.293832433149349e-6,6.294461879337283e-10,10000
0.17,0.00018919867504557802,6.293029257342773e-6,6.293658623205093e-10,10000
0.18,0.00018774179766276738,6.292110329098956e-6,6.292739603059262e-10,10000
0.19,0.00018642475262527905,6.2918780043506345e-6,6.292507255076142e-10,10000
0.2,0.00018523330711664487,6.291359773321741e-6,6.291988972218964e-10,10000
0.21,0.00018415254342761964,6.291302346952704e-6,6.291931540106715e-10,10000
0.22,0.00018317058233659282,6.290780721351955e-6,6.291409862338189e-10,10000
0.23,0.0001822760254100232,6.290262514759106e-6,6.290891603919497e-10,10000
0.24,0.00018145830721694582,6.289494803343469e-6,6.290123815725041e-10,10000
0.25,0.00018070992490815214,6.288982588552795e-6,6.289611549707766e-10,10000
0.26,0.0001800236895226949,6.288233112642751e-6,6.288861998842635e-10,10000
0.27,0.00017939054581580185,6.288180864108884e-6,6.288809745083393e-10,10000
0.28,0.0001788064160705058,6.288212753602748e-6,6.288841637766524e-10,10000
0.29,0.00017826553967802033,6.28738211089794e-6,6.28801091198914e-10,10000
0.3,0.00017776174302713377,6.2869782772920705e-6,6.28760703799587e-10,10000
0.31,0.00017729091330998773,6.28632640487022e-6,6.286955100380259e-10,10000
0.32,0.00017685105443090963,6.285743186468307e-6,6.286371823650672e-10,10000
0.33,0.00017643763245652332,6.284558421751978e-6,6.285186940446023e-10,10000
0.34,0.0001760474921661999,6.283617513799031e-6,6.28424593839287e-10,10000
0.35,0.00017567821229176435,6.282801047439903e-6,6.28342939037894e-10,10000
0.36,0.00017532695721906216,6.28187635313862e-6,6.282504603598981e-10,10000
0.37,0.0001749922414571448,6.281327585027526e-6,6.281955780605586e-10,10000
0.38,0.00017467109680252218,6.280338149907908e-6,6.280966246532561e-10,10000
0.39,0.00017436270829799614,6.2792872776332915e-6,6.279915269160208e-10,10000
0.4,0.0001740674197623783,6.278399346264923e-6,6.279027248989822e-10,10000
0.41,0.00017378330410392745,6.277796544141034e-6,6.278424386579692e-10,10000
0.42,0.00017350834748772382,6.277355443719735e-6,6.277983242043939e-10,10000
0.43,0.00017324204228782715,6.276710061477814e-6,6.27733779525734e-10,10000
0.44,0.0001729837795114364,6.276378284707563e-6,6.277005985306094e-10,10000
0.45,0.000172732722444763,6.276008879158489e-6,6.27663654281277e-10,10000
0.46,0.00017248658578413055,6.275554900194397e-6,6.276182518446242e-10,10000
0.47,0.00017224587708659326,6.275337273776722e-6,6.275964870263749e-10,10000
0.48,0.000172009196917645,6.2751602519025996e-6,6.275787830685669e-10,10000
0.49,0.00017177678595473348,6.274538072465444e-6,6.275165589024346e-10,10000
0.5,0.00017154785649417165,6.273638796091997e-6,6.274266222714269e-10,10000
0.51,0.00017132253811244524,6.27283830464635e-6,6.273465651211471e-10,10000
0.52,0.0001710992148637627,6.272237989194688e-6,6.272865275722261e-10,10000
0.53,0.00017087840988937267,6.2713926622964485e-6,6.272019864282877e-10,10000
0.54,0.000170660086888086,6.270465451505125e-6,6.271092560761201e-10,10000
0.55,0.00017044397688588883,6.2699698708675535e-6,6.270596930560609e-10,10000
0.56,0.00017023023743277608,6.269358437024386e-6,6.269985435567942e-10,10000
0.57,0.00017001832849984503,6.268325641205363e-6,6.268952536459009e-10,10000
0.58,0.00016980695321689663,6.267444963256957e-6,6.268071770434e-10,10000
0.59,0.000169597810717629,6.2669412297771955e-6,6.267567986575854e-10,10000
0.6,0.00016938889566712635,6.266186401206866e-6,6.266813082515117e-10,10000
0.61,0.000169181871104254,6.2653420567009385e-6,6.265968653566295e-10,10000
0.62,0.0001689756313365105,6.2639757064240665e-6,6.264602166640731e-10,10000
0.63,0.00016876977146655308,6.2626742246898845e-6,6.263300554745359e-10,10000
0.64,0.00016856560166710104,6.2616858890475605e-6,6.262312120259586e-10,10000
0.65,0.00016836201107560663,6.260840042073491e-6,6.26146618869236e-10,10000
0.66,0.0001681593720928842,6.260058017724314e-6,6.260684086132927e-10,10000
0.67,0.0001679564617378109,6.259066988999366e-6,6.259692958295196e-10,10000
0.68,0.00016775485503765805,6.258361928077269e-6,6.258987826859955e-10,10000
0.69,0.00016755354223830162,6.257682735364012e-6,6.258308566220634e-10,10000
0.7,0.00016735254693326485,6.257149131986883e-6,6.257774909477831e-10,10000
0.71,0.00016715205919248365,6.256650077996126e-6,6.257275805576684e-10,10000
0.72,0.00016695166210378053,6.2558789851988715e-6,6.256504635662438e-10,10000
0.73,0.0001667524642448573,6.254877880393197e-6,6.255503430736271e-10,10000
0.74,0.0001665530865880024,6.253712164192798e-6,6.254337597952593e-10,10000
0.75,0.00016635468205928222,6.252527862817423e-6,6.253153178135236e-10,10000
0.76,0.00016615720373655066,6.251623998029269e-6,6.252249222951564e-10,10000
0.77,0.00016596063099749876,6.251062658241711e-6,6.251687827024413e-10,10000
0.78,0.0001657645937518467,6.2504114311481494e-6,6.251036534801629e-10,10000
0.79,0.00016556954969641568,6.2496885454581245e-6,6.250313576815806e-10,10000
0.8,0.00016537455548698416,6.249195313566586e-6,6.249820295596145e-10,10000
0.81,0.00016517966003900918,6.248622256669494e-6,6.249247181387633e-10,10000
0.82,0.0001649851437487803,6.247886682063001e-6,6.248511533216323e-10,10000
0.83,0.000164790823080238,6.246734070786019e-6,6.247358806666685e-10,10000
0.84,0.00016459700353813864,6.245739460155313e-6,6.24636409656497e-10,10000
0.85,0.0001644040410224455,6.244660827858758e-6,6.245285356394398e-10,10000
0.86,0.00016421169544661448,6.243223006694313e-6,6.243847391433457e-10,10000
0.87,0.0001640197560217305,6.241833731907755e-6,6.242457977705525e-10,10000
0.88,0.00016382740579003286,6.2403750992334795e-6,6.240999199153395e-10,10000
0.89,0.0001636350287869119,6.2387711915705e-6,6.239395131083608e-10,10000
0.9,0.00016344237881318863,6.237611463525311e-6,6.238235287054017e-10,10000
